"ID","Type","Name","Documentation","Specialization"
"id-d467999d0395424ebf74310bd253efb9","ArchimateModel","archi-ea-app","",""
"id-1343aba46eaf44dda7506ea8aaf6f0a1","BusinessProcess","Commit and Publish","",""
"id-3ced036b1b754c2893e89f3c2e4af671","BusinessRole","Enterprise Architect","",""
"id-e36f2c8e7fae443daeab8c8e2b94b57a","ApplicationComponent","Archi","",""
"id-224e7d01e66348f5b59e93bd45e75476","ApplicationComponent","GitHub","",""
"id-240241d14628451db3199adb4e59e1e4","ApplicationComponent","GitHub Actions","",""
"id-110afcdc3023443e97b0f75baa181027","ApplicationEvent","Commit and Comment","",""
"id-001ad3bd09b64c89b04048b812ba648d","ApplicationEvent","Publish to Repository","",""
"id-4ab3aaa96a6041558363ceb2c1cee4c9","ApplicationFunction","Create / Update Infra","",""
"id-ee706899601b4a338b0ebbb58aff015d","ApplicationFunction","Create Blob","",""
"id-a6211cc9d2c242cc8c6fc9cd802167f5","ApplicationFunction","Move Files","",""
"id-45fb8f924ed84eef92817a16b10da519","ApplicationService","Firewall","",""
"id-54d8a41d31264f16ade53f0bf129648a","ApplicationService","Managed Identity","",""
"id-e86f17f33b0a4e5c90cd0a662d88d932","ApplicationService","modelinfoaccount","",""
"id-8c34df3a2c3c4fc09fe93924f031c8eb","ApplicationService","myexistingtfstatestorage","",""
"id-c2a1ff4ea6314ef58bf146f718ed6ead","ApplicationService","Storage Accounts","",""
"id-ce4c1903d79347fb87c8ea46d71bd9a0","DataObject","modelinfocontainer","",""
"id-865be743e0324338b5893be782da2854","DataObject","tfstate","",""
"id-fd39ff8e80d3463eb514f35ab5bc3886","Artifact","elements.csv","",""
"id-6f1721f5156d41c8ac96f30ded6faad7","Artifact","main.tf","",""
"id-0e91bed3aaf74ef7950a41503cb96d11","Artifact","properties.csv","",""
"id-c1181b166d2e4cc98be66e84d71a7955","Artifact","relations.csv","",""
"id-bf0c67dc033d48388703130ed7443a47","Artifact","terraform.yml","",""
"id-07ed34fe2698410db8c86f7591104c00","Device","Laptop","",""
"id-98e559d95443448bbf5b31eef892b940","Node","Azure Cloud","",""
"id-b55ab4a9655f46ee9b29886c665923bb","Node","GitHub","",""
